2022-06-25 18:25:07 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |Skipping MapperFactoryBean with name 'applicationMapper' and 'com.ahzx.baohanapi.mapper.ApplicationMapper' mapperInterface. Bean already defined with the same name!
2022-06-25 18:25:07 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |Skipping MapperFactoryBean with name 'guaranteeMapper' and 'com.ahzx.baohanapi.mapper.GuaranteeMapper' mapperInterface. Bean already defined with the same name!
2022-06-25 18:25:07 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |Skipping MapperFactoryBean with name 'invoiceMapper' and 'com.ahzx.baohanapi.mapper.InvoiceMapper' mapperInterface. Bean already defined with the same name!
2022-06-25 18:25:07 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |Skipping MapperFactoryBean with name 'productMapper' and 'com.ahzx.baohanapi.mapper.ProductMapper' mapperInterface. Bean already defined with the same name!
2022-06-25 18:25:07 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |No MyBatis mapper was found in '[com.ahzx.baohanapi.mapper]' package. Please check your configuration.
2022-06-25 18:25:50 |WARN  |http-nio-8808-exec-5 |AbstractHandlerExceptionResolver.java:208 |org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver |Resolved [org.springframework.http.converter.HttpMessageNotReadableException: I/O error while reading input message; nested exception is java.io.IOException: Stream closed]
2022-06-25 18:26:21 |WARN  |http-nio-8808-exec-7 |AbstractHandlerExceptionResolver.java:208 |org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver |Resolved [org.springframework.http.converter.HttpMessageNotReadableException: I/O error while reading input message; nested exception is java.io.IOException: Stream closed]
2022-06-25 18:26:54 |WARN  |http-nio-8808-exec-9 |AbstractHandlerExceptionResolver.java:208 |org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver |Resolved [org.springframework.http.converter.HttpMessageNotReadableException: I/O error while reading input message; nested exception is java.io.IOException: Stream closed]
2022-06-25 18:27:31 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |Skipping MapperFactoryBean with name 'applicationMapper' and 'com.ahzx.baohanapi.mapper.ApplicationMapper' mapperInterface. Bean already defined with the same name!
2022-06-25 18:27:31 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |Skipping MapperFactoryBean with name 'guaranteeMapper' and 'com.ahzx.baohanapi.mapper.GuaranteeMapper' mapperInterface. Bean already defined with the same name!
2022-06-25 18:27:31 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |Skipping MapperFactoryBean with name 'invoiceMapper' and 'com.ahzx.baohanapi.mapper.InvoiceMapper' mapperInterface. Bean already defined with the same name!
2022-06-25 18:27:31 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |Skipping MapperFactoryBean with name 'productMapper' and 'com.ahzx.baohanapi.mapper.ProductMapper' mapperInterface. Bean already defined with the same name!
2022-06-25 18:27:31 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |No MyBatis mapper was found in '[com.ahzx.baohanapi.mapper]' package. Please check your configuration.
2022-06-25 18:27:51 |WARN  |http-nio-8808-exec-2 |AbstractHandlerExceptionResolver.java:208 |org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver |Resolved [org.springframework.http.converter.HttpMessageNotReadableException: I/O error while reading input message; nested exception is java.io.IOException: Stream closed]
2022-06-25 18:29:33 |WARN  |http-nio-8808-exec-5 |AbstractHandlerExceptionResolver.java:208 |org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver |Resolved [org.springframework.http.converter.HttpMessageNotReadableException: I/O error while reading input message; nested exception is java.io.IOException: Stream closed]
